TissueName,RobustRegressionZ,AveragedLog(p)
Kidney-Cortex,1.70E-03,2.765004628
Brain-Cortex,2.30E-02,1.639680865
Bladder,2.50E-02,1.597056329
Brain-Hippocampus,2.70E-02,1.561281239
Colon-Transverse,3.00E-02,1.527765274
…,…,…
